"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"24-05-2017";"12:00";17,9;8,6;55;290;35,3;;53,6;0;1019,3;982,8;49
11012;"Kremsmünster";383;"24-05-2017";"12:00";18,1;10,5;62;290;20,9;268;49;0;1019,4;974,2;17
11022;"Retz";320;"24-05-2017";"12:00";17;11,6;71;315;15,8;312;34,9;0;1016,8;979,5;19
11035;"Wien/Hohe Warte";203;"24-05-2017";"12:00";19,4;13,1;68;346;7,9;308;31;0;1016,6;992,4;43
11036;"Wien/Schwechat";183;"24-05-2017";"12:00";20;13,2;65;310;20,5;;33,5;0;1016,7;995,4;71
11101;"Bregenz";424;"24-05-2017";"12:00";18,9;8,6;52;334;7,2;316;13,7;0;1023,6;973;100
11121;"Innsbruck";579;"24-05-2017";"12:00";18,1;12,7;70;41;8,6;74;22;0;1020,1;953,2;44
11126;"Patscherkofel";2247;"24-05-2017";"12:00";6,8;1,9;71;347;23,4;349;43,6;0;;781,3;69
11130;"Kufstein";495;"24-05-2017";"12:00";18,6;10,4;59;18;11,5;50;32;0;1021;964,4;29
11150;"Salzburg";430;"24-05-2017";"12:00";18,7;9,9;57;290;22,3;;37,1;0;1020,4;969,1;9
11155;"Feuerkogel";1618;"24-05-2017";"12:00";8,2;4,9;80;281;20,2;294;70,2;0;;841,5;26
11157;"Aigen im Ennstal";640;"24-05-2017";"12:00";17,4;6,9;51;237;22,7;250;47,2;0;1019;944,6;3
11171;"Mariazell";866;"24-05-2017";"12:00";13,6;8,7;73;317;24,5;329;51,5;0;1018,2;919,8;24
11190;"Eisenstadt";184;"24-05-2017";"12:00";19,9;12,4;62;319;9,4;301;30,6;0;1016,6;995,4;40
11204;"Lienz";659;"24-05-2017";"12:00";21,8;7,5;40;245;10,4;266;20,5;0;1016,4;941,5;42
11240;"Graz/Flughafen";340;"24-05-2017";"12:00";16,6;13;79;120;5,4;;9,4;0;1017,6;975,4;0
11244;"Bad Gleichenberg";280;"24-05-2017";"12:00";17,1;14,6;86;141;1,8;200;8,3;0,1;1018,1;986,4;0
11265;"Villacher Alpe";2140;"24-05-2017";"12:00";8,7;4,2;74;324;11,2;311;40;0;;788,5;40
11331;"Klagenfurt/Flughafen";447;"24-05-2017";"12:00";18,6;11,4;63;335;3,2;327;8,3;0;1017,8;965,8;0
11343;"Sonnblick";3105;"24-05-2017";"12:00";-1;-1,2;100;23;18,4;21;39,2;;;700,7;0
11389;"St. Pölten";270;"24-05-2017";"12:00";17,3;14,7;85;236;15,8;225;31,3;0,7;1017,4;986;1
